event_id,source,date,severity_pop,rp_impact
HIST_0000,historical,1980-11-06,182670.0625566498,59.984781142021646
HIST_0001,historical,1980-12-15,161789.00227462058,1.1449365481275786
HIST_0002,historical,1981-09-20,161789.00227462058,1.1449365481275786
HIST_0003,historical,1984-11-01,161789.00227462058,1.1449365481275786
HIST_0004,historical,1986-07-09,161848.89748075162,1.1449365481275786
HIST_0005,historical,1987-10-23,161790.41229358618,1.1449365481275786
HIST_0006,historical,1991-10-27,167211.2659609646,6.310215491703597
HIST_0007,historical,1993-10-05,181664.60929248598,36.60867155848117
HIST_0008,historical,1993-11-03,161789.00227462058,1.1449365481275786
HIST_0009,historical,1995-11-10,161789.00227462058,1.1449365481275786
HIST_0010,historical,1995-12-25,184042.26913065347,1000000000000.0
HIST_0011,historical,1997-10-20,161789.00227462058,1.1449365481275786
HIST_0012,historical,1998-10-24,167109.38197786943,6.276097359439779
HIST_0013,historical,2000-12-13,161789.00227462058,1.1449365481275786
HIST_0014,historical,2001-07-04,163173.65735634905,1.1449365481275786
HIST_0015,historical,2004-06-30,162072.37348013022,1.1449365481275786
HIST_0016,historical,2004-12-03,167123.57017274038,6.280825216970811
HIST_0017,historical,2005-12-29,161789.00227462058,1.1449365481275786
HIST_0018,historical,2006-12-05,161789.00227462058,1.1449365481275786
HIST_0019,historical,2009-04-27,161789.00227462058,1.1449365481275786
HIST_0020,historical,2009-10-09,161789.00227462058,1.1449365481275786
HIST_0021,historical,2010-11-12,161789.00227462058,1.1449365481275786
HIST_0022,historical,2011-10-02,161789.00227462058,1.1449365481275786
HIST_0023,historical,2011-11-28,161789.00227462058,1.1449365481275786
HIST_0024,historical,2011-12-20,161789.00227462058,1.1449365481275786
HIST_0025,historical,2013-12-13,161789.00227462058,1.1449365481275786
HIST_0026,historical,2015-10-19,162166.29846428358,1.1449365481275786
HIST_0027,historical,2016-10-20,161789.00227462058,1.1449365481275786
HIST_0028,historical,2016-12-29,162054.4530019418,1.1449365481275786
HIST_0029,historical,2017-02-01,161789.00227462058,1.1449365481275786
HIST_0030,historical,2018-09-15,161789.00227462058,1.1449365481275786
HIST_0031,historical,2020-11-13,167286.97924250946,6.335824793415548
HIST_0032,historical,2020-12-21,161789.00227462058,1.1449365481275786
HIST_0033,historical,2022-02-22,161789.00227462058,1.1449365481275786
HIST_0034,historical,2022-10-31,161789.00227462058,1.1449365481275786
HIST_0035,historical,2023-07-26,161797.60053274338,1.1449365481275786
HIST_0036,historical,2024-11-18,161789.00227462058,1.1449365481275786
HIST_0037,historical,2024-12-05,167627.07120856852,6.4536212489835165
HIST_0038,historical,2025-07-02,161823.01930118282,1.1449365481275786
