depth_thr_m,adm3_id,adm3_name,affected_pop,event_id,source,peak_date
0.3,10,Benito Soliven,0.0,HIST_0000,historical,1980-11-06
0.3,11,Pinukpuk,0.0,HIST_0000,historical,1980-11-06
0.3,12,Angadanan,0.0,HIST_0000,historical,1980-11-06
0.3,13,San Mariano,0.0,HIST_0000,historical,1980-11-06
0.3,14,Claveria,0.0,HIST_0000,historical,1980-11-06
0.3,15,Santa Ana,0.0,HIST_0000,historical,1980-11-06
0.3,16,Buguey,0.0,HIST_0000,historical,1980-11-06
0.3,17,Tuao,0.0,HIST_0000,historical,1980-11-06
0.3,18,Naguilian,0.0,HIST_0000,historical,1980-11-06
0.3,19,Enrile,29217.82992350869,HIST_0000,historical,1980-11-06
0.3,20,Dinapigue,0.0,HIST_0000,historical,1980-11-06
0.3,21,Rizal,1466.5276633172762,HIST_0000,historical,1980-11-06
0.3,22,Tinglayan,0.0,HIST_0000,historical,1980-11-06
0.3,23,Solana,26931.357543481165,HIST_0000,historical,1980-11-06
0.3,24,Gamu,0.0,HIST_0000,historical,1980-11-06
0.3,25,Santa Marcela,0.0,HIST_0000,historical,1980-11-06
0.3,26,Paracelis,0.0,HIST_0000,historical,1980-11-06
0.3,27,San Manuel,0.0,HIST_0000,historical,1980-11-06
0.3,28,Abulug,0.0,HIST_0000,historical,1980-11-06
0.3,29,Ilagan City,0.0,HIST_0000,historical,1980-11-06
0.3,30,Santo Niño,0.0,HIST_0000,historical,1980-11-06
0.3,31,Barlig,0.0,HIST_0000,historical,1980-11-06
0.3,32,Kiangan,0.0,HIST_0000,historical,1980-11-06
0.3,33,Palanan,0.0,HIST_0000,historical,1980-11-06
0.3,34,Roxas,0.0,HIST_0000,historical,1980-11-06
0.3,35,Rizal,0.0,HIST_0000,historical,1980-11-06
0.3,36,Asipulo,0.0,HIST_0000,historical,1980-11-06
0.3,37,Flora,0.0,HIST_0000,historical,1980-11-06
0.3,38,Aguinaldo,0.0,HIST_0000,historical,1980-11-06
0.3,39,Conner,0.0,HIST_0000,historical,1980-11-06
0.3,40,San Guillermo,0.0,HIST_0000,historical,1980-11-06
0.3,41,Lacub,0.0,HIST_0000,historical,1980-11-06
0.3,42,Ballesteros,0.0,HIST_0000,historical,1980-11-06
0.3,43,Cabagan,0.0,HIST_0000,historical,1980-11-06
